year,recipient,recipient_iso3,aid,debt,aid_socgov,aid_econ,aid_human
2013,Fiji,FJI,14874674.317378193,0,6973296.933410932,7901377.38396726,0
2014,Fiji,FJI,2753118.615266674,0,1470516.9893502544,1282601.62591642,0
2015,Fiji,FJI,25084329.71084372,0,1225952.9996489899,23858376.71119473,0
2016,Fiji,FJI,9098364.693398379,0,360941.4905135989,0,8737423.20288478
2017,Fiji,FJI,16683132.371977946,1775993.99999999,10763643.642528776,0,0
2000,Gabon,GAB,13454149.3938664,0,13454149.3938664,0,0
2001,Gabon,GAB,1318426.11428359,0,0,1318426.11428359,0
2002,Gabon,GAB,16460323.431912925,0,16460323.431912925,0,0
2003,Gabon,GAB,0,0,0,0,0
2004,Gabon,GAB,0,0,0,0,0
2005,Gabon,GAB,689634.661006705,0,689634.661006705,0,0
2006,Gabon,GAB,11059647.6524693,0,11059647.6524693,0,0
2007,Gabon,GAB,102642.04109299,0,102642.04109299,0,0
2008,Gabon,GAB,98363062.40750453,397071003.098503,5713161.68452033,92649900.7229842,0
2009,Gabon,GAB,9541930.41161445,161080142.974247,9541930.41161445,0,0
2010,Gabon,GAB,16694591.531119557,132828783.782308,16337487.96895657,0,0
2011,Gabon,GAB,148972522.00856405,0,8544074.62497306,140428447.383591,0
2012,Gabon,GAB,0,0,0,0,0
2013,Gabon,GAB,128752944.4717459,519433528.902956,0,128752944.4717459,0
2014,Gabon,GAB,0,0,0,0,0
2015,Gabon,GAB,83984690.3537529,200293857.0388531,83984690.3537529,0,0
2016,Gabon,GAB,22637835.390042618,74409355.0482346,21866592.3097479,771243.080294718,0
2017,Gabon,GAB,0,0,0,0,0
2000,Georgia,GEO,807248.963631985,0,0,807248.963631985,0
2001,Georgia,GEO,15821113.37140312,42393066.5783687,0,7910556.68570156,0
2002,Georgia,GEO,1702156.301441066,0,391620.996352456,0,1310535.30508861
2003,Georgia,GEO,0,0,0,0,0
2004,Georgia,GEO,939056.405678377,1194260.41345185,939056.405678377,0,0
2005,Georgia,GEO,4597564.40671136,0,0,0,0
2006,Georgia,GEO,4423859.06098774,0,0,4423859.06098774,0
2007,Georgia,GEO,0,0,0,0,0
2008,Georgia,GEO,3808774.45634688,0,0,3808774.45634688,0
2009,Georgia,GEO,3816772.16464578,0,0,3816772.16464578,0
2010,Georgia,GEO,3571035.62162987,0,0,3571035.62162987,0
2011,Georgia,GEO,9912596.2859006,0,0,9912596.2859006,0
2012,Georgia,GEO,9686776.89800439,79443366.0007509,0,9686776.89800439,0
2013,Georgia,GEO,4740826.43038035,0,0,4740826.43038035,0
2014,Georgia,GEO,7820741.62144158,187931483.457885,4692444.97286495,3128296.64857663,0
2015,Georgia,GEO,4066905.12394189,0,0,4066905.12394189,0
2016,Georgia,GEO,9254916.96353661,0,9254916.96353661,0,0
2017,Georgia,GEO,7399244.74366898,0,7399244.74366898,0,0
2000,Ghana,GHA,22721534.1223423,57848092.8972046,22721534.1223423,0,0
2001,Ghana,GHA,0,0,0,0,0
2002,Ghana,GHA,121923939.81114061,0,5857555.827225611,0,0
2003,Ghana,GHA,63864264.95250598,27247679.5782886,5109141.19620048,58755123.7563055,0
2004,Ghana,GHA,136410.2989301213,0,12850.2455513883,0,0
2005,Ghana,GHA,2638889.9913713243,0,2638889.9913713243,0,0
2006,Ghana,GHA,53345384.150018975,142838095.258584,53345384.150018975,0,0
2007,Ghana,GHA,94054604.75955378,455939049.568194,8175674.190202271,46843053.0378281,0
2008,Ghana,GHA,413878617.8625513,52760235.7691142,13957299.94612826,399921317.916423,0
2009,Ghana,GHA,10125954.514947614,0,10125954.514947614,0,0
2010,Ghana,GHA,60431.6577717511,423021604.402256,0,0,60431.6577717511
2011,Ghana,GHA,28674394.053727716,136171189.335508,16872890.977983717,11801503.075744,0
2012,Ghana,GHA,1101700522.2717862,307170830.15597904,49317706.307769775,1020093559.6373351,0
2013,Ghana,GHA,152512859.57364398,119912085.005644,152512859.57364398,0,0
2014,Ghana,GHA,3816997.859259937,0,807222.7391417469,3009775.12011819,0
2015,Ghana,GHA,131033050.56096487,0,131033050.56096487,0,0
2016,Ghana,GHA,123166.353335218,649776222.1217567,123166.353335218,0,0
2017,Ghana,GHA,14798489.4873379,400000000,14798489.4873379,0,0
2000,Guinea,GIN,0,0,0,0,0
2001,Guinea,GIN,163434116.607517,0,0,0,0
2002,Guinea,GIN,13016790.727168,0,0,13016790.727168,0
2003,Guinea,GIN,0,0,0,0,0
2004,Guinea,GIN,85986749.7685335,0,85986749.7685335,0,0
2005,Guinea,GIN,84759544.5180295,0,0,0,0
2006,Guinea,GIN,3043152.0272133974,0,398002.1150173874,0,0
2007,Guinea,GIN,8298581.22690356,0,0,0,0
2008,Guinea,GIN,13235700.1032834,0,13235700.1032834,0,0
2009,Guinea,GIN,0,0,0,0,0
2010,Guinea,GIN,0,0,0,0,0
2011,Guinea,GIN,495629.81429503,0,495629.81429503,0,0
2012,Guinea,GIN,0,0,0,0,0
2013,Guinea,GIN,0,325166644.869052,0,0,0
2014,Guinea,GIN,8466821.537256602,254623066.3055032,4818755.98609962,0,3648065.551156981
2015,Guinea,GIN,1579924.713833053,0,15730.4353938728,1564194.27843918,0
2016,Guinea,GIN,0,0,0,0,0
2017,Guinea,GIN,19607998.57072274,0,19607998.57072274,0,0
2000,Guinea-Bissau,GNB,0,0,0,0,0
2001,Guinea-Bissau,GNB,16548111.7250994,0,0,0,0
2002,Guinea-Bissau,GNB,15061207.28087084,0,15061207.28087084,0,0
2003,Guinea-Bissau,GNB,8677836.58514541,0,7400551.28609529,0,1277285.29905012
2004,Guinea-Bissau,GNB,1960530.4404854048,0,0,766270.027033555,0
2005,Guinea-Bissau,GNB,4368829.727724013,0,2260254.52048078,0,37670.9086746797
2006,Guinea-Bissau,GNB,10139741.330084706,0,9434368.02016577,0,705373.309918936
2007,Guinea-Bissau,GNB,26896495.16735645,0,20650754.7623127,0,0
2008,Guinea-Bissau,GNB,40501242.31604733,0,40501242.31604733,0,0
2009,Guinea-Bissau,GNB,11824277.989588,0,9907816.91877907,0,0
2010,Guinea-Bissau,GNB,2700222.25409247,0,1249862.46757045,1450359.78652202,0
2011,Guinea-Bissau,GNB,743170.996834288,0,743170.996834288,0,0
2012,Guinea-Bissau,GNB,0,0,0,0,0
2013,Guinea-Bissau,GNB,8178555.69458956,0,4437657.49424338,2186239.20799452,0
2014,Guinea-Bissau,GNB,156414.832428831,0,156414.832428831,0,0
2015,Guinea-Bissau,GNB,6310122.296427621,0,1500961.08653719,4809161.20989043,0
2016,Guinea-Bissau,GNB,47674446.50589765,0,12299.9087992512,16912374.5989704,0
2017,Guinea-Bissau,GNB,23529598.2848673,0,0,23529598.2848673,0
2000,Equatorial Guinea,GNQ,0,0,0,0,0
2001,Equatorial Guinea,GNQ,114022302.957266,0,0,26938082.3670424,0
2002,Equatorial Guinea,GNQ,13016790.727168,0,0,13016790.727168,0
2003,Equatorial Guinea,GNQ,12686659.3475919,0,0,12686659.3475919,0
2004,Equatorial Guinea,GNQ,0,0,0,0,0
2005,Equatorial Guinea,GNQ,0,0,0,0,0
2006,Equatorial Guinea,GNQ,30189977.6645304,3526866549.59468,0,0,0
2007,Equatorial Guinea,GNQ,633724.547144516,0,307926.123278971,0,0
2008,Equatorial Guinea,GNQ,190438.722817344,0,190438.722817344,0,0
2009,Equatorial Guinea,GNQ,1377219.2711140097,172090381.868557,1377219.2711140097,0,0
2010,Equatorial Guinea,GNQ,178551.781081493,459280599.065308,178551.781081493,0,0
2011,Equatorial Guinea,GNQ,0,0,0,0,0
2012,Equatorial Guinea,GNQ,0,529622440.005005,0,0,0
2013,Equatorial Guinea,GNQ,0,0,0,0,0
2014,Equatorial Guinea,GNQ,96375.1197219924,0,96375.1197219924,0,0
2015,Equatorial Guinea,GNQ,0,0,0,0,0
2016,Equatorial Guinea,GNQ,26685010.57819717,0,20052320.0876626,6632690.49053457,0
2017,Equatorial Guinea,GNQ,14905038.611646734,510000000,106549.124308833,0,0
2000,Iran,IRN,0,425949551.4393208,0,0,0
2001,Iran,IRN,1318426.11428359,1023142719.6822419,0,0,1318426.11428359
2002,Iran,IRN,0,722811541.754035,0,0,0
2003,Iran,IRN,3831855.89715036,626171216.532644,0,0,3831855.89715036
2004,Iran,IRN,39539.2170811948,0,0,0,39539.2170811948
2005,Iran,IRN,376709.086746797,483456854.5100153,0,0,376709.086746797
2006,Iran,IRN,0,1185644362.30999,0,0,0
2007,Iran,IRN,0,0,0,0,0
2008,Iran,IRN,0,0,0,0,0
2009,Iran,IRN,0,1449731095.74118,0,0,0
2010,Iran,IRN,0,0,0,0,0
2011,Iran,IRN,0,0,0,0,0
2012,Iran,IRN,0,0,0,0,0
2013,Iran,IRN,0,0,0,0,0
2014,Iran,IRN,0,2522190310.441507,0,0,0
2015,Iran,IRN,0,1002815256.35939,0,0,0
2016,Iran,IRN,0,52146367.4749465,0,0,0
2017,Iran,IRN,1000000,928000000,0,0,1000000
2000,Iraq,IRQ,0,0,0,0,0
2001,Iraq,IRQ,0,0,0,0,0
2002,Iraq,IRQ,0,0,0,0,0
2003,Iraq,IRQ,0,0,0,0,0
2004,Iraq,IRQ,0,0,0,0,0
2005,Iraq,IRQ,0,0,0,0,0
2006,Iraq,IRQ,0,0,0,0,0
2007,Iraq,IRQ,0,0,0,0,0
2008,Iraq,IRQ,0,0,0,0,0
2009,Iraq,IRQ,0,0,0,0,0
2010,Iraq,IRQ,8097842141.41464,0,0,0,0
2011,Iraq,IRQ,0,0,0,0,0
2012,Iraq,IRQ,0,0,0,0,0
2013,Iraq,IRQ,0,0,0,0,0
2014,Iraq,IRQ,9384889.9457299,0,0,0,9384889.9457299
2015,Iraq,IRQ,0,0,0,0,0
2016,Iraq,IRQ,19474855.598814398,0,0,0,19474855.598814398
2017,Iraq,IRQ,25108067.2310068,0,0,0,25108067.2310068
2000,Jamaica,JAM,26908298.7877328,0,26908298.7877328,0,0
2001,Jamaica,JAM,0,0,0,0,0
2002,Jamaica,JAM,0,0,0,0,0
2003,Jamaica,JAM,528610.806149663,0,528610.806149663,0,0
2004,Jamaica,JAM,198684.56583300387,40839994.0604188,988.48042702987,0,197696.085405974
2005,Jamaica,JAM,86108013.41865087,0,86108013.41865087,0,0
2006,Jamaica,JAM,0,62964767.608326405,0,0,0
2007,Jamaica,JAM,71849428.7650935,0,71849428.7650935,0,0
2008,Jamaica,JAM,53808322.052015,0,53808322.052015,0,0
2009,Jamaica,JAM,0,13100046.1654389,0,0,0
2010,Jamaica,JAM,87789612.77686349,484474324.30520916,86954717.3866874,834895.390176083,0
2011,Jamaica,JAM,11895115.543080721,5340046.64060816,0,11895115.543080721,0
2012,Jamaica,JAM,816596.0060598166,0,816596.0060598166,0,0
2013,Jamaica,JAM,6363888.897738871,736625210.1541637,6363888.897738871,0,0
2014,Jamaica,JAM,0,0,0,0,0
2015,Jamaica,JAM,405031.72896182723,0,393260.884846822,11770.8441150052,0
2016,Jamaica,JAM,0,179578668.46906754,0,0,0
2017,Jamaica,JAM,2300000,326400000,2300000,0,0
2000,Kazakhstan,KAZ,4455202.76908672,0,4455202.76908672,0,0
2001,Kazakhstan,KAZ,0,0,0,0,0
2002,Kazakhstan,KAZ,262107.061017722,373148000.845483,262107.061017722,0,0
2003,Kazakhstan,KAZ,134690.033406934,0,134690.033406934,0,0
2004,Kazakhstan,KAZ,2794829.5593842547,0,2794829.5593842547,0,0
2005,Kazakhstan,KAZ,119981.844128855,2444841972.986709,119981.844128855,0,0
2006,Kazakhstan,KAZ,3792695.879056122,354085233.8897098,1568078.129824972,2224617.74923115,0
2007,Kazakhstan,KAZ,9774115.303363094,55318695.16377909,717791.7160496538,0,0
2008,Kazakhstan,KAZ,9556969.616576854,10897851922.64029,1112592.9506820056,0,0
2009,Kazakhstan,KAZ,83046.6464017204,7431175580.687694,83046.6464017204,0,0
2010,Kazakhstan,KAZ,484423011.0114167,280402892.060925,969748.8374086788,483453262.174008,0
2011,Kazakhstan,KAZ,68032.194201348,1648888496.7249074,68032.194201348,0,0
2012,Kazakhstan,KAZ,64878.7489006133,7974798692.292925,64878.7489006133,0,0
2013,Kazakhstan,KAZ,92447505.4816304,291498561.065936,92447505.4816304,0,0
2014,Kazakhstan,KAZ,61390.9512629092,35176918.6985272,61390.9512629092,0,0
2015,Kazakhstan,KAZ,62626.7959118564,884836990.905349,62626.7959118564,0,0
2016,Kazakhstan,KAZ,65292.0158760252,2357482519.85648,65292.0158760252,0,0
2017,Kazakhstan,KAZ,63700,3982321428.57,63700,0,0
2000,Cambodia,KHM,18331057.196426455,61328487.053004,2724243.89954143,13723232.381743727,1883580.915141296
2001,Cambodia,KHM,24481412.97414522,0,12615577.945592921,11865835.0285523,0
2002,Cambodia,KHM,294178698.94149536,0,496409.294106746,163514382.3757086,0
2003,Cambodia,KHM,12815141.854993174,0,12815141.854993174,0,0
2004,Cambodia,KHM,6111569.358256039,0,955408.330761482,5057312.98479157,98848.042702987
2005,Cambodia,KHM,71222256.37231064,0,52198447.49159744,0,0
2006,Cambodia,KHM,56359964.43698385,26451.4991219601,1061726.1746370592,55298238.2623468,0
2007,Cambodia,KHM,31352759.643477496,693295922.1810709,3639408.5483699962,27713351.0951075,0
2008,Cambodia,KHM,4936916.138524729,138842494.0834435,306406.4573910119,4630509.681133717,0
2009,Cambodia,KHM,336458505.8642906,313397121.50154567,17767569.242406804,318690936.6218838,0
2010,Cambodia,KHM,58023163.54276465,2158769169.983995,12086.3315543502,52137120.07579609,145035.978652202
2011,Cambodia,KHM,41871437.907446906,182974291.8043728,13878788.4034351,17634508.79261717,10358140.71139464
2012,Cambodia,KHM,57374637.23722064,1242889438.779608,751656.4629301811,56622980.77429046,0
2013,Cambodia,KHM,257775266.99108914,884506715.4466832,77732.94961758298,256677289.0777408,1020244.9637307775
2014,Cambodia,KHM,20745844.32231185,625489419.8429807,12369402.863201171,8376441.459110676,0
2015,Cambodia,KHM,168232223.03469074,292211556.6236653,168232223.03469074,0,0
2016,Cambodia,KHM,491825304.7045028,247005231.01796296,127273341.88540775,267742446.4081809,0
2017,Cambodia,KHM,243787759.97067514,919060686.8658243,0,236487759.97067514,0
2000,Laos,LAO,1670701.03840752,78034066.4844252,0,1670701.03840752,0
2001,Laos,LAO,0,65476857.5866343,0,0,0
2002,Laos,LAO,154744102.104703,109341042.108211,10847325.6059733,143896776.4987297,0
2003,Laos,LAO,23268431.99555131,46889534.3391288,10572216.1229932,127728.529905012,0
2004,Laos,LAO,5565053.174987655,491077076.148438,5565053.174987655,0,0
2005,Laos,LAO,163188.492833279,0,163188.492833279,0,0
2006,Laos,LAO,120496265.44750804,0,0,120496265.44750804,0
2007,Laos,LAO,11537922.47633776,0,3170415.678772409,8367506.797565353,0
2008,Laos,LAO,1191213.00929551,332630655.7503193,0,132357.001032834,132357.001032834
2009,Laos,LAO,81687922.65856889,331143613.5955565,57363.4606228524,81369816.1951149,260743.002831147
2010,Laos,LAO,20184173.6957648,436261076.5336604,0,20184173.6957648,0
2011,Laos,LAO,178626.3562519649,596757196.5445912,146586.076408316,0,32040.2798436489
2012,Laos,LAO,356399486.22199816,293435188.2269529,24232219.81539566,331844373.8433357,322892.563266813
2013,Laos,LAO,97438399.07984726,736266149.8260614,97438399.07984726,0,0
2014,Laos,LAO,68633940.55297683,1472763138.2900088,51200949.161982946,17432991.39099389,0
2015,Laos,LAO,481324.59824876185,249934428.3748506,0,0,481324.59824876185
2016,Laos,LAO,341576616.78769493,6723283898.530708,54730546.8621298,281695586.2976507,12531.5903355582
2017,Laos,LAO,426236498.29130644,398650000,97541283.75789069,328695214.53341573,0
2000,Lebanon,LBN,1345414.93938664,0,1345414.93938664,0,0
2001,Lebanon,LBN,0,0,0,0,0
2002,Lebanon,LBN,14327326.032256579,0,1310535.30508861,13016790.72716797,0
2003,Lebanon,LBN,2937756.187815276,0,383185.589715036,0,0
2004,Lebanon,LBN,0,0,0,0,0
2005,Lebanon,LBN,11516170.852303095,0,941772.716866995,10574398.1354361,0
2006,Lebanon,LBN,8847718.12197548,0,0,4423859.06098774,4423859.06098774
2007,Lebanon,LBN,2052840.8218598,0,1026420.4109299,0,1026420.4109299
2008,Lebanon,LBN,4760968.07043361,952193.614086722,0,4760968.07043361,0
2009,Lebanon,LBN,1630947.4827088262,0,92563.7660050573,0,1538383.7167037688
2010,Lebanon,LBN,7249202.311908634,0,6249312.337852269,999889.974056364,0
2011,Lebanon,LBN,5099669.414632515,0,5099669.414632515,0,0
2012,Lebanon,LBN,10494008.30617141,0,8072314.08167032,0,2421694.22450109
2013,Lebanon,LBN,21030166.592395164,0,15802754.76793452,4644414.70232877,582997.122131872
2014,Lebanon,LBN,8496925.35645077,0,1876977.98914598,0,6619947.36730479
2015,Lebanon,LBN,3128388.5568783702,0,3128388.5568783702,0,0
2016,Lebanon,LBN,512496.199968801,0,0,0,512496.199968801
2017,Lebanon,LBN,29477205.55157517,0,14798489.4873379,0,14678716.06423727
2000,St. Lucia,LCA,46936386.20987845,0,46936386.20987845,0,0
2001,St. Lucia,LCA,0,0,0,0,0
2002,St. Lucia,LCA,0,0,0,0,0
2003,St. Lucia,LCA,0,0,0,0,0
2004,St. Lucia,LCA,474470.604974337,2196.62317117749,0,0,0
2005,St. Lucia,LCA,941772.716866995,0,941772.716866995,0,0
2006,St. Lucia,LCA,0,0,0,0,0
2007,St. Lucia,LCA,0,0,0,0,0
2008,St. Lucia,LCA,0,0,0,0,0
2009,St. Lucia,LCA,0,0,0,0,0
2010,St. Lucia,LCA,0,0,0,0,0
2011,St. Lucia,LCA,0,0,0,0,0
2012,St. Lucia,LCA,0,0,0,0,0
2013,St. Lucia,LCA,0,0,0,0,0
2014,St. Lucia,LCA,0,0,0,0,0
2015,St. Lucia,LCA,0,0,0,0,0
2016,St. Lucia,LCA,0,0,0,0,0
2017,St. Lucia,LCA,0,0,0,0,0
2000,Sri Lanka,LKA,10692486.64580814,0,0,8019364.98435611,0
2001,Sri Lanka,LKA,10982923.5517727,157144458.207922,10982923.5517727,0,0
2002,Sri Lanka,LKA,5672556.97085915,0,0,5672556.97085915,0
2003,Sri Lanka,LKA,52164331.61320692,0,0,50887046.3141568,1277285.29905012
2004,Sri Lanka,LKA,50257199.29630684,0,36229710.03774463,0,14027489.258562213
2005,Sri Lanka,LKA,50308259.7454539,565517877.2382679,2622460.3073878256,493313.73391296703,39036733.97608494
2006,Sri Lanka,LKA,18511487.38349017,273332157.593587,766218.811632544,17745268.571857627,0
2007,Sri Lanka,LKA,21095968.67400581,581617262.0272967,11242332.7290787,9853635.94492711,0
2008,Sri Lanka,LKA,12215.6014415779,0,0,0,12215.6014415779
2009,Sri Lanka,LKA,255891751.84801632,1602526495.4002302,1229478.3668896845,248090190.701975,6572082.77915164
2010,Sri Lanka,LKA,985695186.8176833,403839861.1589911,534602.205345763,975693848.7600749,9466735.85226276
2011,Sri Lanka,LKA,4178557.8949361863,679259317.4163421,826049.690491717,0,3352508.2044444694
2012,Sri Lanka,LKA,331337548.5193874,705167834.7540503,161446.281633406,113012397.143384,0
2013,Sri Lanka,LKA,309094345.2191102,262057206.3982762,77109905.22583179,231984439.99327838,0
2014,Sri Lanka,LKA,1027451977.5490841,1134845947.262377,0,1024323680.9005075,3128296.64857663
2015,Sri Lanka,LKA,78988682.67262205,0,73955105.48460476,3469382.90957812,1564194.27843918
2016,Sri Lanka,LKA,468675651.6158224,369304761.697518,462473162.29055846,0,6202489.325263905
2017,Sri Lanka,LKA,492610213.26394343,952900000,404999877.43926036,85387284.3419401,2223051.482742972
2000,Morocco,MAR,14816791.15947551,0,13454149.3938664,1362641.76560911,0
2001,Morocco,MAR,33020724.1611081,0,33020724.1611081,0,0
2002,Morocco,MAR,14625574.004788889,0,13105353.0508861,1310535.30508861,0
2003,Morocco,MAR,0,0,0,0,0
2004,Morocco,MAR,1194260.41345185,0,0,0,1194260.41345185
2005,Morocco,MAR,0,0,0,0,0
2006,Morocco,MAR,6621252.944680801,0,6621252.944680801,0,0
2007,Morocco,MAR,0,0,0,0,0
2008,Morocco,MAR,1904387.22817344,0,1904387.22817344,0,0
2009,Morocco,MAR,0,0,0,0,0
2010,Morocco,MAR,0,0,0,0,0
2011,Morocco,MAR,3720371.180784585,196513716.37438,79156.8336337147,3641214.34715087,0
2012,Morocco,MAR,0,0,0,0,0
2013,Morocco,MAR,0,0,0,0,0
2014,Morocco,MAR,6179250.40998187,289009709.022311,6179250.40998187,0,0
2015,Morocco,MAR,9742689.07191526,0,0,9742689.07191526,0
2016,Morocco,MAR,0,170763733.829604,0,0,0
2017,Morocco,MAR,0,0,0,0,0
2000,Moldova,MDA,0,0,0,0,0
2001,Moldova,MDA,2636852.22856718,0,2636852.22856718,0,0
2002,Moldova,MDA,0,0,0,0,0
2003,Moldova,MDA,3142121.8356632898,0,1864836.53661317,0,0
2004,Moldova,MDA,71655.6248071112,0,71655.6248071112,0,0
2005,Moldova,MDA,538052.213612285,0,538052.213612285,0,0
2006,Moldova,MDA,2211929.53049387,0,2211929.53049387,0,0
2007,Moldova,MDA,1282250.66415456,0,1282250.66415456,0,0
2008,Moldova,MDA,6768592.385075902,0,952193.614086722,5816398.77098918,0
2009,Moldova,MDA,6679351.288130115,0,2862579.123484335,3816772.16464578,0
2010,Moldova,MDA,604316.577717511,0,0,0,604316.577717511
2011,Moldova,MDA,4956298.1429503,0,0,4956298.1429503,0
2012,Moldova,MDA,1210847.1122505432,0,1210847.1122505432,0,0
2013,Moldova,MDA,0,0,0,0,0
2014,Moldova,MDA,6010409.01995536,0,4852939.25998201,1157469.75997335,0
2015,Moldova,MDA,9385165.67063513,0,0,9385165.67063513,0
2016,Moldova,MDA,4194381.73168048,0,0,4194381.73168048,0
2017,Moldova,MDA,4997449.89987403,0,4997449.89987403,0,0
2000,Madagascar,MDG,27801654.3074855,0,0,27801654.3074855,0
2001,Madagascar,MDG,65476857.5866343,0,0,0,0
2002,Madagascar,MDG,0,0,0,0,0
2003,Madagascar,MDG,0,0,0,0,0
2004,Madagascar,MDG,14117997.56618859,0,1433112.49614222,7907843.41623896,4777041.65380741
2005,Madagascar,MDG,0,0,0,0,0
2006,Madagascar,MDG,55362384.2187311,0,15483506.7134571,0,0
2007,Madagascar,MDG,84357603.166423,0,821136.328743926,83536466.83767907,0
2008,Madagascar,MDG,3565172.15053046,0,3565172.15053046,0,0
2009,Madagascar,MDG,9435301.056478485,0,8790284.142079892,645016.914398593,0
2010,Madagascar,MDG,4397319.863050339,0,2249522.325750853,121408.409096603,0
2011,Madagascar,MDG,2480358.74775094,0,2480358.74775094,0,0
2012,Madagascar,MDG,1910352.21511682,13240561.0001251,0,1910352.21511682,0
2013,Madagascar,MDG,18963305.7215214,0,18963305.7215214,0,0
2014,Madagascar,MDG,0,0,0,0,0
2015,Madagascar,MDG,5595486.759877677,0,3710813.463815651,1589727.63242691,294945.663635116
2016,Madagascar,MDG,227237.740088966,0,102499.23999376,124738.500095206,0
2017,Madagascar,MDG,68520276.90327401,105230500,35939838.03113053,28140892.0259421,4439546.84620139
2000,Mali,MLI,53816597.5754656,0,13454149.3938664,40362448.1815992,0
2001,Mali,MLI,115982927.5538509,0,13184261.1428359,0,0
2002,Mali,MLI,0,0,0,0,0
2003,Mali,MLI,0,0,0,0,0
2004,Mali,MLI,14211698.920077,0,14211698.920077,0,0
2005,Mali,MLI,16229869.79608707,0,13574070.734522149,2655799.06156492,0
2006,Mali,MLI,0,0,0,0,0
2007,Mali,MLI,144131937.590733,0,2114426.0465156045,71007764.028131,0
2008,Mali,MLI,105244254.15346418,0,10024892.744791988,95219361.4086722,0
2009,Mali,MLI,1008117.83323221,0,1008117.83323221,0,0
2010,Mali,MLI,183908334.513938,0,0,183908334.513938,0
2011,Mali,MLI,117324317.58866347,2490240.23786547,71594206.72304207,45730110.8656214,0
2012,Mali,MLI,14436394.140723296,0,702298.849056125,9677568.156985663,20370.0938463464
2013,Mali,MLI,15439972.365866555,336018278.745901,522171.8649364548,14917800.5009301,0
2014,Mali,MLI,195095320.2791312,0,935653.963463914,194159666.3156673,0
2015,Mali,MLI,13467712.7373614,7865.21769693644,13467712.7373614,0,0
2016,Mali,MLI,6169944.64235774,0,0,6169944.64235774,0
2017,Mali,MLI,66593202.69302078,0,44395468.4620139,0,0
2000,Myanmar (Burma),MMR,93135481.06681441,664939013.2861935,334140.207681504,92801340.8591329,0
2001,Myanmar (Burma),MMR,0,206743177.8297974,0,0,0
2002,Myanmar (Burma),MMR,7863211.83053168,0,7863211.83053168,0,0
2003,Myanmar (Burma),MMR,131605482.70666018,422888644.91973,0,12798226.309196385,0
2004,Myanmar (Burma),MMR,81921487.32114324,50287560.80226149,5350286.65226429,66061709.03050265,0
2005,Myanmar (Burma),MMR,123127970.26673807,205805591.8169441,50395023.01554201,69768039.87184499,2964907.379351069
2006,Myanmar (Burma),MMR,62543101.564803496,629038041.3021662,110596.476524693,9346196.35642591,0
2007,Myanmar (Burma),MMR,6870314.44554813,209325989.6750412,0,6870314.44554813,0
2008,Myanmar (Burma),MMR,21323519.872897934,0,9521936.14086722,3970710.03098503,7830873.701045683
2009,Myanmar (Burma),MMR,346843359.77370477,76144604.6846833,14340.8651557131,336142056.847541,10686962.0610081
2010,Myanmar (Burma),MMR,1682802817.8451192,2523500286.6757436,0,1682802817.8451192,0
2011,Myanmar (Burma),MMR,8375881.033247981,121197019.1287048,1029056.0521164341,0,534004.664060816
2012,Myanmar (Burma),MMR,52323194.68110092,423213044.3976157,46427269.63590482,0,5895925.0451960955
2013,Myanmar (Burma),MMR,43724.784159890405,285442192.6288563,43724.784159890405,0,0
2014,Myanmar (Burma),MMR,35288485.61396216,385500478.8879694,33816977.46483208,1471508.1491300697,0
2015,Myanmar (Burma),MMR,17394514.7655224,166223789.6204787,3280256.17937203,5004639.59386618,9109618.992284192
2016,Myanmar (Burma),MMR,37139843.83781752,88923215.6565867,25411516.911676694,415020.528819808,11313306.39732102
2017,Myanmar (Burma),MMR,12519732.29122287,172205300.6919113,8305539.757942406,0,4214192.533280464
2000,Mongolia,MNG,0,0,0,0,0
2001,Mongolia,MNG,10020038.4685553,57837890.8681936,10020038.4685553,0,0
2002,Mongolia,MNG,16286942.099625211,91737471.3562029,3181589.04873911,13105353.0508861,0
2003,Mongolia,MNG,10988650.86708472,0,0,9711365.5680346,1277285.29905012
2004,Mongolia,MNG,0,0,0,0,0
2005,Mongolia,MNG,75341.8173493595,0,75341.8173493595,0,0
2006,Mongolia,MNG,64232721.646220915,1327157.71829632,25437189.6006795,38795532.04554142,0
2007,Mongolia,MNG,10663709.06901557,0,6558027.42529594,4105681.64371963,0
2008,Mongolia,MNG,16606180.4541833,0,0,16606180.4541833,0
2009,Mongolia,MNG,0,50586969.0033933,0,0,0
2010,Mongolia,MNG,12619487.991248032,187112378.5053246,0,10713106.8648896,1906381.126358432
2011,Mongolia,MNG,106842820.82363951,417749910.2578455,106694131.879351,148688.944288509,0
2012,Mongolia,MNG,0,0,0,0,0
2013,Mongolia,MNG,0,29441354.6676595,0,0,0
2014,Mongolia,MNG,32273528.09317732,239406089.90671456,32273528.09317732,0,0
2015,Mongolia,MNG,1462907.8719209412,472959449.3874147,1462907.8719209412,0,0
2016,Mongolia,MNG,78349243.6979078,447694951.31205934,48673166.222261116,11226214.2767699,0
2017,Mongolia,MNG,16590438.579359656,12874.685853984,312100.14328795735,0,0
2000,Mozambique,MOZ,17392436.04798398,0,0,16144979.2726397,1247456.7753442826
2001,Mozambique,MOZ,101144850.51778626,0,24755183.33337957,0,0
2002,Mozambique,MOZ,11975447.468994562,0,11715111.6544512,0,0
2003,Mozambique,MOZ,1057221.61229932,0,1057221.61229932,0,0
2004,Mozambique,MOZ,0,0,0,0,0
